"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"729","A.J. Greer","COL","L","5","1.2833333333333","0","0","0","0","0","-","0","-","0.06","1","1","1","0","0","0","2","1","1","0","0","1","0","0","0","0","0","0","0","-"
"688","Aaron Ekblad","FLA","D","68","55.583333333333","1","0","0","0","1","100.00","3","33.33","0.24","7","4","3","1","2","0","8","4","4","0","0","5","2","1","1","3","4","0","0","-"
"501","Adam Clendening","NYR","D","31","1.3","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"145","Adam Cracknell","DAL","R","69","35.95","1","0","0","0","1","50.00","3","33.33","0.47","7","5","6","5","1","0","2","1","1","0","0","2","0","0","1","1","1","5","9","35.71"
"298","Adam Henrique","N.J","C","82","186.6","2","1","1","0","3","75.00","7","28.57","0.84","12","7","6","5","1","1","0","0","0","0","0","3","3","9","2","2","18","66","75","46.81"
"519","Adam Larsson","EDM","D","79","126.36666666667","0","0","0","0","0","0.00","3","0.00","0.02","3","3","0","0","0","0","5","1","0","1","0","3","3","3","19","0","26","0","0","-"
"485","Adam Lowry","WPG","C, L","82","183.73333333333","0","1","0","1","1","20.00","5","0.00","0.58","6","5","3","3","2","2","2","1","1","0","0","5","5","7","11","5","18","128","138","48.12"
"167","Adam McQuaid","BOS","D","77","183.13333333333","0","1","1","0","1","25.00","2","0.00","0.02","2","2","0","0","0","0","6","2","2","0","0","4","2","1","12","8","42","0","0","-"
"140","Adam Pardy","NSH","D","4","0.33333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"585","Adam Pelech","NYI","D","44","43","0","0","0","0","0","-","1","0.00","0.15","1","1","1","1","0","0","0","0","0","0","0","1","1","0","2","0","13","0","0","-"
"705","Adrian Kempe","L.A","L","25","15.633333333333","0","1","1","0","1","100.00","1","0.00","0.11","2","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","4","3","57.14"
"492","Alan Quine","NYI","C","61","22.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","7","17","29.17"
"261","Alec Martinez","L.A","D","82","181.85","1","0","0","0","1","50.00","1","100.00","0.08","4","2","2","1","0","0","0","0","0","0","0","0","4","0","15","5","36","0","1","0.00"
"656","Aleksander Barkov","FLA","C","61","78.616666666667","0","0","0","0","0","-","1","0.00","0.14","3","3","2","1","0","0","0","0","0","0","0","1","7","7","4","3","4","30","37","44.78"
"44","Ales Hemsky","DAL","R","15","2.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"188","Alex Biega","VAN","D","36","23.116666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","-"
"331","Alex Chiasson","CGY","R","81","76.283333333333","1","0","0","0","1","100.00","2","50.00","0.3","4","3","2","1","0","0","12","2","1","0","1","4","1","3","3","1","1","0","0","-"
"555","Alex Galchenyuk","MTL","C","61","1.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0.00"
"131","Alex Goligoski","ARI","D","82","204.1","1","1","1","0","2","33.33","2","50.00","0.17","3","3","2","1","0","0","4","2","2","0","0","3","7","2","12","3","31","0","0","-"
"226","Alex Killorn","T.B","C, L","81","116.68333333333","1","1","0","1","2","100.00","8","12.50","0.82","9","8","7","2","1","1","0","0","0","0","0","5","2","10","3","2","4","1","0","100.00"
"117","Alex Ovechkin","WSH","L","82","1.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","-"
"410","Alex Petrovic","FLA","D","49","64.3","0","0","0","0","0","0.00","2","0.00","0.08","2","2","0","0","0","0","2","1","1","0","0","4","5","1","1","2","4","0","0","-"
"273","Alex Pietrangelo","STL","D","80","241.38333333333","0","0","0","0","0","0.00","9","0.00","0.32","12","12","3","0","2","0","6","3","3","0","0","1","7","10","4","7","32","0","0","-"
"426","Alexander Burmistrov","ARI, WPG","C","49","43.716666666667","0","1","1","0","1","100.00","1","0.00","0.04","1","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","3","4","18","18.18"
"135","Alexander Edler","VAN","D","68","175.81666666667","0","0","0","0","0","-","2","0.00","0.03","2","2","0","0","0","0","2","1","1","0","0","1","3","6","5","0","34","0","0","-"
"122","Alexander Radulov","MTL","R","76","1.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","-"
"72","Alexander Steen","STL","L","76","140.93333333333","0","0","0","0","0","-","0","-","0.12","3","1","1","1","0","0","0","0","0","0","0","4","1","3","4","4","16","15","24","38.46"
"667","Alexander Wennberg","CBJ","C","80","50.966666666667","0","0","0","0","0","-","1","0.00","0.04","1","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","4","12","25.00"
"76","Alexandre Burrows","OTT, VAN","L","75","88.5","0","1","1","0","1","100.00","5","0.00","0.28","5","5","2","1","1","0","17","3","1","1","1","2","2","5","1","1","6","0","3","0.00"
"755","Alexandre Carrier","NSH","D","2","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"134","Alexei Emelin","MTL","D","76","195.98333333333","0","0","0","0","0","0.00","0","-","0","1","0","0","0","0","0","10","5","5","0","0","5","20","5","25","3","32","0","0","-"
"464","Alexey Marchenko","DET, TOR","D","41","71.766666666667","0","1","0","1","1","100.00","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","3","0","1","2","13","0","0","-"
"379","Anders Lee","NYI","C, L","81","0.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"634","Andre Burakovsky","WSH","L","64","1.8333333333333","1","0","0","0","1","100.00","1","100.00","0.13","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"596","Andreas Athanasiou","DET","C","64","33.4","0","0","0","0","0","-","5","0.00","0.33","6","6","2","1","0","0","0","0","0","0","0","0","1","3","1","1","0","2","1","66.67"
"708","Andreas Englund","OTT","D","5","0.88333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"749","Andreas Martinsen","COL, MTL","L","64","57.983333333333","0","1","1","0","1","100.00","3","0.00","0.12","5","3","2","0","1","0","0","0","0","0","0","1","1","4","6","2","4","0","0","-"
"18","Andrei Markov","MTL","D","62","105.68333333333","0","1","0","1","1","50.00","0","-","0","1","0","0","0","0","0","2","1","1","0","0","2","6","4","1","1","8","0","0","-"
"133","Andrej Sekera","EDM","D","80","162.23333333333","1","0","0","0","1","33.33","7","14.29","0.36","8","7","3","1","0","0","0","0","0","0","0","1","3","5","5","3","29","0","0","-"
"613","Andrej Sustr","T.B","D","80","165.75","0","0","0","0","0","0.00","1","0.00","0","2","1","0","0","0","0","2","1","1","0","0","3","8","5","4","6","30","0","0","-"
"161","Andrew Cogliano","ANA","C, L","82","145.58333333333","3","1","1","0","4","100.00","19","15.79","2.1","25","23","15","8","4","2","2","1","1","0","0","1","2","5","2","0","5","3","3","50.00"
"632","Andrew Copp","WPG","C","64","92.866666666667","1","0","0","0","1","100.00","7","14.29","0.81","10","10","7","2","0","0","2","1","1","0","0","0","2","6","3","2","11","20","29","40.82"
"182","Andrew Desjardins","CHI","C, L","46","30.016666666667","0","0","0","0","0","-","3","0.00","0.18","4","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","5","4","2","66.67"
"119","Andrew Ladd","NYI","L","78","64.533333333333","1","0","0","0","1","100.00","2","50.00","0.12","3","2","1","0","0","0","0","0","0","0","0","1","1","5","4","1","5","0","1","0.00"
"218","Andrew MacDonald","PHI","D","73","206.81666666667","0","1","1","0","1","100.00","1","0.00","0.02","2","1","0","0","0","0","2","1","1","0","0","3","9","0","2","5","28","0","0","-"
"481","Andrew Shaw","MTL","C","68","8.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","47","6","1","1","4","3","2","1","0","0","2","1","4","20.00"
"490","Andy Andreoff","L.A","C, L","36","6.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","20","2","0","0","2","0","0","0","1","0","0","0","2","0.00"
"185","Andy Greene","N.J","D","66","214.06666666667","1","0","0","0","1","33.33","4","25.00","0.31","5","4","1","0","1","0","0","0","0","0","0","1","7","5","6","5","38","0","0","-"
"736","Anthony Beauvillier","NYI","C, L","66","3.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","25.00"
"446","Anthony Bitetto","NSH","D","29","7.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-"
"699","Anthony DeAngelo","ARI","D","39","2.7833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","12","2","1","0","1","2","0","0","0","0","0","0","0","-"
"627","Anthony Duclair","ARI","L","58","0.26666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"671","Anthony Mantha","DET","R","60","0.88333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"320","Antoine Roussel","DAL","L","60","120.16666666667","0","0","0","0","0","-","5","0.00","0.26","5","5","4","2","0","1","16","4","3","0","1","10","2","3","7","3","11","0","0","-"
"35","Antoine Vermette","ANA","C","72","66.133333333333","0","0","0","0","0","-","1","0.00","0.03","1","1","0","0","1","0","2","1","1","0","0","1","0","2","0","0","6","103","61","62.80"
"620","Anton Blidh","BOS","L","19","4.9833333333333","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"333","Anton Lander","EDM","C","22","41.85","0","0","0","0","0","0.00","1","0.00","0.05","2","1","1","0","0","0","2","1","1","0","0","0","0","2","1","1","6","17","17","50.00"
"717","Anton Lindholm","COL","D","12","14.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","0","0","-"
"629","Anton Slepyshev","EDM","L","41","0.48333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"180","Anton Stralman","T.B","D","73","191.45","0","0","0","0","0","0.00","2","0.00","0.05","4","3","0","0","0","1","2","1","1","0","0","0","2","5","9","3","16","0","0","-"
"156","Anze Kopitar","L.A","C","76","144.88333333333","0","1","1","0","1","100.00","7","0.00","0.58","11","7","7","3","2","1","4","2","2","0","0","1","1","6","3","1","12","87","119","42.23"
"215","Artem Anisimov","CHI","C","64","53.166666666667","0","0","0","0","0","-","3","0.00","0.26","3","3","3","1","2","0","4","2","2","0","0","0","0","1","2","2","4","13","19","40.63"
"748","Artemi Panarin","CHI","C, L","82","2.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"650","Artturi Lehkonen","MTL","L","73","32.716666666667","1","0","0","0","1","100.00","4","25.00","0.25","5","5","2","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0.00"
"744","Austin Czarnik","BOS","C","49","54.366666666667","0","0","0","0","0","-","3","0.00","0.28","5","5","3","2","1","0","0","0","0","0","0","0","1","4","0","0","7","2","5","28.57"
"418","Austin Watson","NSH","L","77","132.28333333333","0","1","1","0","1","50.00","4","0.00","0.54","4","4","4","2","0","1","2","1","1","0","0","5","2","2","5","5","11","3","5","37.50"
"762","Auston Matthews","TOR","C","82","0.86666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0.00"
"545","Barclay Goodrow","S.J","R","3","1.2166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"413","Beau Bennett","N.J","R","65","1.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"376","Ben Chiarot","WPG","D","59","116.68333333333","0","0","0","0","0","0.00","3","0.00","0","3","3","0","0","0","0","4","2","2","0","0","0","8","1","6","2","19","0","0","-"
"633","Ben Harpur","OTT","D","6","1.6833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"609","Ben Hutton","VAN","D","71","38.283333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","-"
"224","Ben Lovejoy","N.J","D","82","269.18333333333","0","0","0","0","0","0.00","3","0.00","0.07","3","3","0","0","1","0","9","3","2","1","0","2","5","4","10","1","36","0","0","-"
"314","Ben Smith","COL, TOR","R","40","87.366666666667","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","15","64","80","44.44"
"153","Benoit Pouliot","EDM","L","67","90.716666666667","0","0","0","0","0","-","2","0.00","0.19","5","4","3","0","1","0","2","1","1","0","0","1","3","6","2","1","9","0","1","0.00"
"487","Blake Coleman","N.J","C","23","24.116666666667","0","0","0","0","0","-","2","0.00","0.26","3","3","3","1","0","0","2","1","1","0","0","1","0","0","0","1","1","8","19","29.63"
"127","Blake Comeau","COL","L","77","144.85","1","0","0","0","1","50.00","6","16.67","0.73","9","8","4","4","1","0","12","2","1","0","1","5","0","6","13","1","5","25","35","41.67"
"479","Blake Pietila","N.J","L","10","12.35","0","0","0","0","0","-","1","0.00","0.1","1","1","1","1","0","0","0","0","0","0","0","1","1","2","0","0","0","3","7","30.00"
"738","Blake Speers","N.J","C","3","3.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"120","Blake Wheeler","WPG","R","82","114.83333333333","2","1","1","0","3","75.00","7","28.57","0.86","13","10","7","5","2","0","2","1","1","0","0","5","3","5","0","2","8","1","6","14.29"
"663","Bo Horvat","VAN","C","81","148.76666666667","2","0","0","0","2","100.00","9","22.22","1.06","12","12","9","6","3","0","0","0","0","0","0","4","3","4","0","2","6","78","93","45.61"
"151","Bobby Ryan","OTT","R","62","2.2666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","-"
"502","Boone Jenner","CBJ","C","82","69.916666666667","2","0","0","0","2","100.00","7","28.57","1.38","9","8","7","3","2","1","0","0","0","0","0","5","0","7","3","1","5","14","20","41.18"
"68","Boyd Gordon","PHI","C","13","19.833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","13","43.48"
"546","Brad Hunt","NSH, STL","D","12","2.9666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"189","Brad Marchand","BOS","C, L","80","151.38333333333","3","2","1","1","5","100.00","13","23.08","1.49","17","16","14","8","3","0","16","4","3","0","1","8","5","13","4","13","7","0","1","0.00"
"105","Brad Richardson","ARI","R","16","32.4","2","1","1","0","3","100.00","5","40.00","0.53","7","6","4","2","1","1","0","0","0","0","0","2","0","3","0","1","0","24","22","52.17"
"611","Brady Austin","BUF","D","5","3.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"562","Brady Skjei","NYR","D","80","23.183333333333","0","0","0","0","0","-","0","-","0.05","1","1","1","0","0","0","0","0","0","0","0","1","0","0","4","0","3","0","0","-"
"734","Brandon Carlo","BOS","D","82","212.73333333333","1","0","0","0","1","16.67","5","20.00","0.08","5","5","1","0","0","0","0","0","0","0","0","2","10","2","9","4","32","0","0","-"
"447","Brandon Davidson","EDM, MTL","D","38","33.216666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","4","0","0","-"
"130","Brandon Dubinsky","CBJ","C","80","138.05","1","0","0","0","1","50.00","7","14.29","0.96","9","8","6","4","1","0","10","1","0","0","1","5","2","4","2","0","10","80","94","45.98"
"385","Brandon Manning","PHI","D","65","106.01666666667","1","0","0","0","1","100.00","4","25.00","0.27","5","5","2","0","0","0","0","0","0","0","0","6","4","1","8","3","7","0","1","0.00"
"709","Brandon Montour","ANA","D","27","7.5","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","-"
"357","Brandon Pirri","NYR","C, R","60","0.53333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","5","1","0","1","0","1","0","0","1","0","0","0","0","-"
"505","Brandon Saad","CBJ","L","82","40.733333333333","0","0","0","0","0","-","2","0.00","0.4","5","4","3","2","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","100.00"
"248","Brandon Sutter","VAN","C","81","152.98333333333","0","0","0","0","0","-","8","0.00","0.59","11","10","8","2","2","0","2","1","1","0","0","4","6","7","3","1","13","104","105","49.76"
"760","Brandon Tanev","WPG","L","51","85.333333333333","0","0","0","0","0","0.00","2","0.00","0.15","2","2","2","0","1","0","10","1","0","0","1","1","2","5","8","3","13","1","0","100.00"
"351","Brayden McNabb","L.A","D","49","28.116666666667","0","0","0","0","0","-","0","-","0","1","0","1","0","0","0","0","0","0","0","0","2","1","0","4","0","5","0","0","-"
"713","Brayden Point","T.B","C","68","17.466666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","2","1","0","3","8","5","61.54"
"338","Brayden Schenn","PHI","C","79","0.98333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"82","Braydon Coburn","T.B","D","80","162.23333333333","1","0","0","0","1","50.00","4","25.00","0.26","7","5","2","2","1","0","6","3","3","0","0","3","6","2","5","3","21","0","0","-"
"443","Brendan Gallagher","MTL","R","64","1.9333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","-"
"561","Brendan Gaunce","VAN","C","57","27.7","0","0","0","0","0","-","1","0.00","0.11","2","1","2","1","0","0","0","0","0","0","0","0","0","0","3","1","1","4","1","80.00"
"696","Brendan Perlini","ARI","L","57","2.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"247","Brendan Smith","DET, NYR","D","51","95.866666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","4","2","2","0","0","5","4","1","5","5","10","0","0","-"
"386","Brenden Dillon","S.J","D","81","65.266666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","5","1","1","7","0","5","0","0","-"
"90","Brent Burns","S.J","D","82","141.76666666667","0","1","0","1","1","33.33","2","0.00","0.1","7","4","3","1","1","0","0","0","0","0","0","1","11","6","3","1","14","0","0","-"
"86","Brent Seabrook","CHI","D","79","148.58333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","12","1","28","0","0","-"
"429","Brett Connolly","WSH","R","66","2.3333333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","0","0","0","0","0","0","-"
"598","Brett Kulak","CGY","D","21","2.2166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","0","0","0","0","0","0","-"
"712","Brett Lernout","MTL","D","2","0.23333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"653","Brett Pesce","CAR","D","82","178.08333333333","0","0","0","0","0","0.00","2","0.00","0","2","2","0","0","0","0","0","0","0","0","0","3","2","6","5","5","21","0","0","-"
"506","Brett Ritchie","DAL","R","78","1.2833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"93","Brian Boyle","T.B, TOR","C","75","79.766666666667","0","0","0","0","0","-","2","0.00","0.05","2","2","0","0","0","0","17","3","1","1","1","6","4","4","4","3","13","46","51","47.42"
"12","Brian Campbell","CHI","D","80","9.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","-"
"358","Brian Dumoulin","PIT","D","70","128.98333333333","0","0","0","0","0","0.00","2","0.00","0.14","2","2","1","1","0","0","2","1","1","0","0","0","4","2","7","1","14","0","0","-"
"551","Brian Flynn","MTL","C","51","75.866666666667","0","0","0","0","0","-","3","0.00","0.16","3","3","1","1","0","1","0","0","0","0","0","1","2","2","0","4","6","15","27","35.71"
"16","Brian Gionta","BUF","R","82","152","1","1","1","0","2","100.00","8","12.50","0.5","12","9","5","2","1","0","2","1","1","0","0","1","2","8","1","2","6","4","8","33.33"
"322","Brian Lashoff","DET","D","5","1.6333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"214","Brian Strait","WPG","D","5","1.5333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"592","Brock McGinn","CAR","L","57","44.85","0","1","1","0","1","100.00","2","0.00","0.02","2","2","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","0","1","0.00"
"409","Brock Nelson","NYI","C","81","48.083333333333","0","1","1","0","1","100.00","2","0.00","0.12","2","2","2","0","0","0","0","0","0","0","0","1","1","3","4","0","1","25","30","45.45"
"30","Brooks Orpik","WSH","D","79","190.36666666667","0","0","0","0","0","0.00","3","0.00","0.03","4","3","1","0","1","0","2","1","1","0","0","6","6","6","18","5","17","0","0","-"
"126","Bryan Bickell","CAR","L","11","1.6166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"187","Bryan Little","WPG","C","59","68.15","0","0","0","0","0","-","6","0.00","0.65","8","7","6","2","1","1","2","1","1","0","0","0","2","2","1","0","3","29","53","35.37"
"438","Bryan Rust","PIT","R","57","41.65","0","1","1","0","1","100.00","3","0.00","0.23","3","3","3","1","1","0","0","0","0","0","0","2","2","1","2","1","5","0","1","0.00"
"375","Byron Froese","T.B, TOR","C","6","1.2833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","50.00"
"202","Cal Clutterbuck","NYI","R","66","136.95","0","0","0","0","0","-","6","0.00","0.45","9","8","6","3","2","0","0","0","0","0","0","5","2","5","9","5","6","1","2","33.33"
"393","Calle Jarnkrok","NSH","C","81","143.73333333333","1","2","2","0","3","75.00","2","50.00","0.98","4","3","2","2","0","0","0","0","0","0","0","2","3","3","1","0","3","50","80","38.46"
"343","Calvin de Haan","NYI","D","82","155.58333333333","0","0","0","0","0","0.00","2","0.00","0","4","2","0","0","1","0","10","2","0","2","0","2","2","2","12","2","36","0","0","-"
"310","Cam Atkinson","CBJ","R","82","128","3","0","0","0","3","75.00","8","37.50","0.59","10","9","7","3","0","1","2","1","1","0","0","2","2","8","4","0","5","1","0","100.00"
"416","Cam Fowler","ANA","D","80","220.36666666667","1","1","1","0","2","66.67","4","25.00","0.29","4","4","4","1","0","1","6","3","3","0","0","0","5","6","2","4","27","0","0","-"
"291","Cameron Gaunce","PIT","D","12","12.383333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","2","0","1","0","0","2","0","0","-"
"252","Carl Gunnarsson","STL","D","56","45.35","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","6","0","0","-"
"262","Carl Hagelin","PIT","L","61","138.45","0","1","0","1","1","100.00","14","0.00","0.81","20","16","10","2","0","0","2","1","1","0","0","3","5","6","4","4","8","1","0","100.00"
"128","Carl Soderberg","COL","C","80","54.766666666667","0","0","0","0","0","-","4","0.00","0.3","8","6","2","1","3","0","0","0","0","0","0","1","0","1","0","0","0","14","24","36.84"
"617","Carter Rowney","PIT","R","27","28.383333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","0","1","10","11","47.62"
"366","Casey Cizikas","NYI","C","59","126.71666666667","0","0","0","0","0","0.00","8","0.00","0.87","8","8","7","6","1","1","2","1","1","0","0","6","1","10","6","1","16","62","82","43.06"
"758","Casey Nelson","BUF","D","11","0.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"599","Cedric Paquette","T.B","C","58","84.783333333333","0","0","0","0","0","-","3","0.00","0.22","4","3","2","1","0","0","34","5","2","0","3","6","3","6","2","1","12","27","51","34.62"
"618","Chad Ruhwedel","PIT","D","34","38.466666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","0","-"
"581","Chandler Stephenson","WSH","C","4","0.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"404","Charlie Coyle","MIN","C","82","29.6","0","0","0","0","0","0.00","1","0.00","0.09","1","1","1","1","0","0","0","0","0","0","0","2","1","1","2","0","3","1","0","100.00"
"174","Chris Butler","STL","D","1","1.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"21","Chris Kelly","OTT","C","82","173.41666666667","1","0","0","0","1","100.00","5","20.00","0.21","7","6","1","1","2","0","2","1","1","0","0","0","3","4","1","3","16","45","80","36.00"
"348","Chris Kreider","NYR","C, L","75","0.58333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","-"
"77","Chris Kunitz","PIT","L","71","52","0","0","0","0","0","-","2","0.00","0.17","3","3","1","1","1","0","2","1","1","0","0","3","1","2","8","7","1","0","0","-"
"17","Chris Neil","OTT","R","53","1.1833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","5","1","0","1","0","7","0","0","0","0","0","0","0","-"
"200","Chris Stewart","MIN","R","79","0.21666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","7","0","0","0","0","0","0","0","-"
"240","Chris Terry","MTL","L","14","3.2666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"47","Chris Thorburn","WPG","R","64","39.6","1","0","0","0","1","100.00","3","33.33","0.4","3","3","2","2","1","0","0","0","0","0","0","5","1","0","3","1","6","1","1","50.00"
"587","Chris Tierney","S.J","C","80","143.05","1","1","1","0","2","66.67","8","12.50","0.47","11","9","6","4","0","0","2","1","1","0","0","3","6","8","3","2","10","54","71","43.20"
"175","Chris VandeVelde","PHI","C","81","201.86666666667","0","0","0","0","0","0.00","5","0.00","0.23","6","5","1","1","0","0","2","1","1","0","0","1","2","4","5","5","13","4","6","40.00"
